Chromosome,General_function,Representative_group,Numero_genes,Numero_SNPs
10,Biological process,cell proliferation,1,15
10,Biological process,response to biotic stimulus,6,14
10,Biological process,protein folding,2,13
10,Biological process,nitrogen compound metabolism,1,8
10,Biological process,sexual reproduction,5,7
10,Biological process,ATP hydrolysis coupled proton transport,1,6
10,Biological process,metabolism,38,5
10,Biological process,microtubule-based movement,1,5
10,Biological process,phospholipid biosynthetic process,1,5
10,Biological process,methylation,13,4
10,Biological process,multicellular organism development,1,4
10,Biological process,regulation of pH,2,4
10,Biological process,metal ion transport,3,3
10,Biological process,dephosphorylation,2,2
10,Biological process,embryo development ending in seed dormancy,2,2
10,Biological process,glycerolipid biosynthetic process,2,2
10,Biological process,intracellular protein transport,6,2
10,Biological process,photosynthesis light harvesting,2,2
10,Biological process,cell wall modification,1,1
10,Biological process,histone acetylation,1,1
10,Biological process,photosynthesis,2,1
10,Biological process,plant-type cell wall organization or biogenesis,5,1
10,Biological process,positive regulation of GTPase activity,3,1
10,Biological process,biosynthesis,8,0
10,Biological process,developmental process,2,0
10,Cellular component,extracellular region,4,563
10,Cellular component,extracellular space,1,184
10,Cellular component,intracellular,2,64
10,Cellular component,integral component of plasma membrane,48,51
10,Cellular component,cell,1,21
10,Cellular component,thylakoid,14,9
10,Cellular component,endoplasmic reticulum membrane,1,8
10,Cellular component,peroxisome,19,7
10,Cellular component,anchored component of membrane,1,6
10,Cellular component,microtubule,1,5
10,Cellular component,membrane,6,2
10,Cellular component,TORC1 complex,1,2
10,Cellular component,anchored component of plasma membrane,4,1
10,Cellular component,integral component of membrane,122,1
10,Cellular component,nuclear cap binding complex,1,1
10,Molecular function,chitin binding,59,553
10,Molecular function,chlorophyll binding,50,256
10,Molecular function,actin binding,2,92
10,Molecular function,RNA cap binding,14,89
10,Molecular function,deaminase activity,2,63
10,Molecular function,catalytic activity,13,62
10,Molecular function,GPI-anchor transamidase activity,12,61
10,Molecular function,protein-cysteine S-palmitoyltransferase activity,4,49
10,Molecular function,TBP-class protein binding,18,46
10,Molecular function,calcium ion binding,3,44
10,Molecular function,flavin adenine dinucleotide binding,4,41
10,Molecular function,potassium ion binding,26,39
10,Molecular function,4-hydroxy-tetrahydrodipicolinate synthase,6,37
10,Molecular function,aromatic amino acid transmembrane transporter activity,11,34
10,Molecular function,hydrolase activity,13,24
10,Molecular function,L-aspartate:2-oxoglutarate aminotransferase activity,2,24
10,Molecular function,D-alanine-D-alanine ligase activity,2,21
10,Molecular function,lipid binding,3,16
10,Molecular function,transferase activity,12,16
10,Molecular function,methylenetetrahydrofolate dehydrogenase (NADP+) activity,2,10
10,Molecular function,carbohydrate binding,2,8
10,Molecular function,double-stranded DNA binding,9,6
10,Molecular function,squalene synthase activity,11,6
10,Molecular function,zinc ion binding,16,6
10,Molecular function,nutrient reservoir activity,1,3
10,Molecular function,ligase activity,7,2
10,Molecular function,4 iron 4 sulfur cluster binding,1,0
10,Not characterized,Not characterized,958,4674
11,Biological process,gravitropism,21,343
11,Biological process,intracellular protein transport,17,305
11,Biological process,resolution of meiotic recombination intermediates,1,266
11,Biological process,ribosomal small subunit biogenesis,8,218
11,Biological process,microtubule cytoskeleton organization,1,213
11,Biological process,mRNA splicing via spliceosome,3,202
11,Biological process,7-methylguanosine mRNA capping,52,168
11,Biological process,glycerol ether metabolism,69,131
11,Biological process,cellular glucan metabolism,11,121
11,Biological process,RNA polyadenylation,28,87
11,Biological process,carbohydrate metabolism,27,79
11,Biological process,polysaccharide catabolism,76,75
11,Biological process,response to auxin,13,70
11,Biological process,rRNA processing,1,63
11,Biological process,chromatin silencing,1,61
11,Biological process,ribosome biogenesis,3,60
11,Biological process,glycolytic process,1,56
11,Biological process,protein processing,20,52
11,Biological process,amine metabolism,44,27
11,Biological process,transcription DNA-templated,1,24
11,Biological process,metal ion transport,3,23
11,Biological process,terpenoid biosynthesis,2,22
11,Biological process,protein N-linked glycosylation,1,19
11,Biological process,dephosphorylation,9,11
11,Biological process,peroxisomal membrane transport,47,9
11,Biological process,autophagy,1,8
11,Biological process,cell wall organization,1,7
11,Biological process,phospholipid biosynthetic process,1,6
11,Biological process,protein folding,4,6
11,Biological process,microtubule-based movement,10,5
11,Biological process,nitrogen compound metabolism,1,5
11,Biological process,oligosaccharide metabolism,3,5
11,Biological process,polyamine metabolism,1,4
11,Biological process,cell proliferation,1,3
11,Biological process,positive regulation of GTPase activity,8,3
11,Biological process,cellular metabolism,2,2
11,Biological process,metabolism,33,2
11,Biological process,plant-type cell wall organization or biogenesis,1,2
11,Biological process,actin filament organization,1,1
11,Biological process,actin filament polymerization,1,1
11,Biological process,biosynthesis,3,1
11,Biological process,carbon utilization,2,1
11,Biological process,cytokinin biosynthetic process,2,1
11,Biological process,negative regulation of flower development,3,1
11,Biological process,phloem development,10,1
11,Biological process,photosynthesis,1,1
11,Biological process,reciprocal meiotic recombination,1,1
11,Biological process,RNA phosphodiester bond hydrolysis endonucleolytic,1,1
11,Biological process,tRNA processing,1,1
11,Biological process,ubiquitin-dependent ERAD pathway,1,1
11,Biological process,Arp2/3 complex-mediated actin nucleation,1,0
11,Biological process,hydrogen peroxide catabolism,4,0
11,Biological process,methylation,13,0
11,Cellular component,extracellular region,3,791
11,Cellular component,cell wall,4,111
11,Cellular component,intracellular,4,88
11,Cellular component,cell,2,28
11,Cellular component,chloroplast nucleoid,22,22
11,Cellular component,chloroplast stroma,17,20
11,Cellular component,actin cytoskeleton,2,7
11,Cellular component,prefoldin complex,7,4
11,Cellular component,integral component of membrane,168,3
11,Cellular component,membrane,3,3
11,Cellular component,outer membrane,1,1
11,Molecular function,heme binding,29,471
11,Molecular function,calcium-dependent phospholipid binding,40,263
11,Molecular function,double-stranded RNA binding,46,201
11,Molecular function,catalytic activity,10,181
11,Molecular function,ADP binding,21,177
11,Molecular function,chromatin binding,1,162
11,Molecular function,actin binding,3,125
11,Molecular function,DNA topoisomerase activity,1,67
11,Molecular function,arogenate dehydratase activity,1,62
11,Molecular function,ferrous iron binding,48,52
11,Molecular function,poly(U)-specific exoribonuclease activity producing 3prime uridine cyclic phosphate ends,13,39
11,Molecular function,calmodulin binding,10,32
11,Molecular function,N-carbamoylputrescine amidase activity,4,23
11,Molecular function,SNAP receptor activity,14,19
11,Molecular function,structural constituent of cell wall,1,19
11,Molecular function,GTPase activator activity,4,16
11,Molecular function,electron carrier activity,1,14
11,Molecular function,flavin adenine dinucleotide binding,7,12
11,Molecular function,hydrolase activity,9,12
11,Molecular function,isomerase activity,1,9
11,Molecular function,lipid binding,1,9
11,Molecular function,zinc ion binding,39,7
11,Molecular function,ligase activity,8,6
11,Molecular function,carbohydrate binding,1,3
11,Molecular function,thiol oxidase activity,5,3
11,Molecular function,ATP binding,1,2
11,Molecular function,nutrient reservoir activity,2,2
11,Molecular function,transcription factor activity sequence-specific DNA binding,1,2
11,Molecular function,transferase activity,8,1
11,Molecular function,3-deoxy-8-phosphooctulonate synthase activity,44,0
11,Molecular function,oxidoreductase activity,1,0
11,Not characterized,Not characterized,965,4825
12,Biological process,intracellular protein transport,16,665
12,Biological process,response to auxin,22,405
12,Biological process,response to biotic stimulus,11,390
12,Biological process,mRNA splicing via spliceosome,2,302
12,Biological process,ribosomal large subunit biogenesis,14,285
12,Biological process,carbohydrate metabolism,31,191
12,Biological process,GPI anchor biosynthetic process,1,173
12,Biological process,starch metabolism,3,156
12,Biological process,protein ubiquitination,80,139
12,Biological process,RNA polyadenylation,126,134
12,Biological process,protein folding,3,127
12,Biological process,dephosphorylation,20,105
12,Biological process,rRNA processing,1,92
12,Biological process,(1->3)-beta-D-glucan biosynthetic process,1,79
12,Biological process,fructose 6-phosphate metabolism,8,79
12,Biological process,inositol biosynthetic process,1,77
12,Biological process,inositol phosphate biosynthesis,13,77
12,Biological process,S-adenosylmethionine biosynthesis,22,52
12,Biological process,translational termination,2,52
12,Biological process,microtubule-based movement,9,47
12,Biological process,endoplasmic reticulum organization,28,41
12,Biological process,lipid metabolism,2,41
12,Biological process,pectin catabolism,17,36
12,Biological process,histone acetylation,1,30
12,Biological process,multicellular organism development,101,30
12,Biological process,arginine biosynthesis,3,28
12,Biological process,protein processing,28,26
12,Biological process,fatty acid biosynthetic process,1,25
12,Biological process,negative regulation of endopeptidase activity,6,23
12,Biological process,autophagy,1,22
12,Biological process,hydrogen peroxide catabolism,5,14
12,Biological process,response to oxidative stress,10,13
12,Biological process,developmental process,1,11
12,Biological process,regulation of photoperiodism flowering,2,11
12,Biological process,microtubule-based process,21,10
12,Biological process,vacuolar transport,57,10
12,Biological process,plant-type cell wall organization,11,8
12,Biological process,protein refolding,2,8
12,Biological process,folic acid-containing compound biosynthetic process,1,6
12,Biological process,metabolism,57,6
12,Biological process,phospholipid biosynthetic process,1,6
12,Biological process,positive regulation of GTPase activity,2,6
12,Biological process,signal transduction,10,6
12,Biological process,phosphatidylinositol dephosphorylation,5,5
12,Biological process,positive regulation of nucleic acid-templated transcription,1,5
12,Biological process,ATP hydrolysis coupled proton transport,1,4
12,Biological process,actin filament polymerization,1,2
12,Biological process,ATP metabolic process,1,2
12,Biological process,cellular metabolism,1,2
12,Biological process,metabolic process,1,2
12,Biological process,methylation,23,2
12,Biological process,phospholipid translocation,1,2
12,Biological process,photosynthesis,2,2
12,Biological process,vesicle-mediated transport,1,2
12,Biological process,carbohydrate derivative metabolism,1,1
12,Biological process,metal ion transport,8,1
12,Biological process,negative regulation of catalytic activity,8,1
12,Biological process,regulation of catalytic activity,6,1
12,Biological process,biosynthesis,11,0
12,Biological process,circadian rhythm,1,0
12,Biological process,regulation of transcription DNA-templated,17,0
12,Cellular component,transcriptional repressor complex,21,1034
12,Cellular component,photosystem II,1,119
12,Cellular component,nuclear chromosome,3,76
12,Cellular component,cell wall,3,48
12,Cellular component,cell,1,24
12,Cellular component,membrane,2,24
12,Cellular component,extracellular region,3,17
12,Cellular component,intracellular,3,11
12,Cellular component,thylakoid,30,10
12,Cellular component,apoplast,3,8
12,Cellular component,cytosol,16,7
12,Cellular component,integral component of membrane,234,3
12,Molecular function,heme binding,70,398
12,Molecular function,calcium-dependent phospholipid binding,12,338
12,Molecular function,transcription cofactor activity,2,162
12,Molecular function,catalytic activity,19,125
12,Molecular function,DNA-directed 5'-3' RNA polymerase activity,1,88
12,Molecular function,actin binding,1,73
12,Molecular function,fumarylacetoacetase activity,18,59
12,Molecular function,glycine hydroxymethyltransferase activity,11,39
12,Molecular function,serine-type endopeptidase activity,3,36
12,Molecular function,structural constituent of nuclear pore,2,33
12,Molecular function,carbohydrate binding,5,30
12,Molecular function,motor activity,18,27
12,Molecular function,hydrolase activity,8,19
12,Molecular function,3-hydroxy-lignoceroyl-CoA dehydratase activity,7,18
12,Molecular function,protein binding bridging,25,18
12,Molecular function,phosphoethanolamine N-methyltransferase activity,10,17
12,Molecular function,Rho GDP-dissociation inhibitor activity,5,16
12,Molecular function,calcium ion binding,2,14
12,Molecular function,aminoacyl-tRNA ligase activity,2,10
12,Molecular function,ligase activity,4,10
12,Molecular function,acetolactate synthase activity,1,9
12,Molecular function,lipid binding,2,8
12,Molecular function,potassium ion binding,48,7
12,Molecular function,coenzyme binding,1,5
12,Molecular function,zinc ion binding,33,5
12,Molecular function,isomerase activity,1,4
12,Molecular function,ATP binding,2,3
12,Molecular function,transcription factor activity sequence-specific DNA binding,1,3
12,Molecular function,4 iron 4 sulfur cluster binding,2,2
12,Molecular function,ethylene binding,1,2
12,Molecular function,cycloeucalenol cycloisomerase activity,3,0
12,Molecular function,kinase activity,3,0
12,Molecular function,transferase activity,7,0
12,Not characterized,Not characterized,1113,5170
